epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.693,1.71577,2.91522,2.02582,0.77565,0.37547,0.4216,0.20173,2.09125,2.638,2.72827,0.000415793,0.000415793,0.000415793
2,309.313,1.65571,2.38055,1.95034,0.46653,0.54529,0.52002,0.28541,1.8146,2.05652,2.24359,0.000822158,0.000822158,0.000822158
3,458.938,1.65237,2.25365,1.9471,0.62901,0.53345,0.58076,0.31383,1.90499,2.12483,2.40895,0.00121821,0.00121821,0.00121821
4,608.44,1.61687,2.12506,1.8964,0.59282,0.73091,0.69098,0.40885,1.82361,1.49604,2.18884,0.00120359,0.00120359,0.00120359
5,758.552,1.58945,2.02289,1.87397,0.80282,0.79143,0.857,0.45132,1.77456,1.38741,2.20434,0.00118812,0.00118812,0.00118812
6,908.521,1.56558,1.95457,1.85528,0.86986,0.86129,0.90101,0.53047,1.6758,1.22969,2.037,0.00117266,0.00117266,0.00117266
7,1058,1.54445,1.87052,1.82472,0.70827,0.64007,0.75859,0.44581,1.8094,1.71505,2.17252,0.00115719,0.00115719,0.00115719
8,1207.78,1.51137,1.81378,1.80411,0.69904,0.81113,0.85688,0.53787,1.62819,1.41941,2.01014,0.00114172,0.00114172,0.00114172
9,1357.69,1.51289,1.79533,1.80877,0.82965,0.84232,0.87772,0.54829,1.6445,1.24282,2.00921,0.00112625,0.00112625,0.00112625
10,1507.77,1.50338,1.7369,1.79821,0.84584,0.83986,0.88854,0.52369,1.78243,1.10668,2.13708,0.00111078,0.00111078,0.00111078
11,1658.73,1.47821,1.68904,1.78002,0.90773,0.88132,0.92355,0.57501,1.62045,1.07971,1.97005,0.00109531,0.00109531,0.00109531
12,1809.32,1.47251,1.66172,1.76793,0.84546,0.86912,0.89816,0.50528,1.76783,1.1425,2.13507,0.00107984,0.00107984,0.00107984
13,1957.45,1.46622,1.63113,1.76294,0.84965,0.90428,0.90635,0.54825,1.63043,1.09392,1.98566,0.00106437,0.00106437,0.00106437
